pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.0511363636363636	0.417613636363636	0.565860103587401	1.5708100702191	17	9	FOS|EGR3|TNFAIP8
HALLMARK_MTORC1_SIGNALING	0.0460122699386503	0.417613636363636	0.525458375439477	1.54505206473346	14	11	CALR|EDEM1|CCNG1|PDK1|SQLE|SKAP2|P4HA1
HALLMARK_ANDROGEN_RESPONSE	0.0963541666666667	0.462264150943396	0.729101741275742	1.5004101891934	36	4	UAP1|TNFAIP8|MAP7
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.101063829787234	0.462264150943396	0.66531546612248	1.49798530710893	37	5	PCYT2|ACAT2|ERRFI1|SQLE
HALLMARK_PI3K_AKT_MTOR_SIGNALING	0.0809399477806789	0.462264150943396	0.569980625098604	1.47118043325749	30	7	PRKAA2|CALR|PDK1
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	0.0958083832335329	0.462264150943396	0.456110430753539	1.394726865457	31	12	ALDH18A1|CALR|EDEM1|GEMIN4|HERPUD1
HALLMARK_PROTEIN_SECRETION	0.169398907103825	0.515789473684211	0.478013551046354	1.28160946173697	61	8	GALC|LAMP2|TSPAN8
HALLMARK_P53_PATHWAY	0.124629080118694	0.506877957521734	0.381155888434436	1.28043739303593	41	15	FOS|WWP1|ANKRA2|HIST1H1C|CD82|CCNG1
HALLMARK_ESTROGEN_RESPONSE_LATE	0.191616766467066	0.515789473684211	0.399407314565573	1.2213360500533	63	12	FOS|FGFR3|EGR3|ISG20|DYNLT3
HALLMARK_SPERMATOGENESIS	0.251928020565553	0.537779653862389	0.484282880321812	1.17653869414737	97	6	PACRG|CLGN|MAP7|DBF4
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.368263473053892	0.601497005988024	0.340875352101436	1.04235285863235	122	12	FOS|EGR3|PMAIP1
HALLMARK_APOPTOSIS	0.396866840731071	0.627305651478144	0.400589331751367	1.03396354313333	151	7	EGR3|PMAIP1|ISG20
HALLMARK_GLYCOLYSIS	0.498489425981873	0.763311933534743	0.299555516095302	0.972569574061533	164	14	CHPF|SOX9|ISG20|PC
HALLMARK_ANGIOGENESIS	0.598409542743539	0.81450187762315	0.697791164658635	0.930477546818577	300	1	MSX1
HALLMARK_KRAS_SIGNALING_DN	0.590909090909091	0.81450187762315	0.317737643834116	0.882029829383842	207	9	FGFR3|NUDT11
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.712793733681462	0.850898203592814	0.313131313131313	0.808225123159788	272	7	ISG20|PSMA2|TRAFD1|VAMP8
HALLMARK_HYPOXIA	0.781437125748503	0.850898203592814	0.253369563659806	0.774771444585531	260	12	FOS|ISG20|PDK1|ERRFI1
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.760925449871465	0.850898203592814	0.312815338042382	0.759967705414414	295	6	ISG20|TRAFD1
HALLMARK_NOTCH_SIGNALING	0.9296875	0.949055989583333	0.298086606243706	0.61342904007822	356	4	ARRB1|HES1|NOTCH2
HALLMARK_COMPLEMENT	0.953150242326333	0.953150242326333	-0.252956048913142	-0.5850386781543	589	7	PDGFB|FCER1G|COL4A2
HALLMARK_PEROXISOME	0.900489396411093	0.938808094130714	-0.301908603939333	-0.663040948924539	551	6	ERCC3|EPHX2|PEX5|GNPAT
HALLMARK_HEME_METABOLISM	0.846616541353384	0.901830663615561	-0.241061205895869	-0.698202084459678	562	15	FBXO34|MARK3
HALLMARK_KRAS_SIGNALING_UP	0.771428571428571	0.850898203592814	-0.2732046362791	-0.7642035047965	512	13	TMEM176B|TSPAN7
HALLMARK_ADIPOGENESIS	0.755588673621461	0.850898203592814	-0.269926975019643	-0.769481591930494	506	14	VEGFB|SNCG|SOWAHC|ACAA2|CD151|HIBCH
HALLMARK_ALLOGRAFT_REJECTION	0.716981132075472	0.850898203592814	-0.329454190340103	-0.799743293491161	455	8	CCL19|DARS|NPM1
HALLMARK_COAGULATION	0.752427184466019	0.850898203592814	-0.422316770043267	-0.805245735105382	464	4	PDGFB|CFI
HALLMARK_FATTY_ACID_METABOLISM	0.658054711246201	0.848544232922732	-0.329259965851292	-0.86072783047196	432	10	NCAPH2|IDH3B|ACAA2|HIBCH
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	0.63915857605178	0.846453249365871	-0.469463952841374	-0.895142870534126	394	4	STK25|NQO1
HALLMARK_MITOTIC_SPINDLE	0.571005917159763	0.81450187762315	-0.306151565774629	-0.917334552350243	385	17	KATNA1|PKD2|TIAM1
HALLMARK_WNT_BETA_CATENIN_SIGNALING	0.58	0.81450187762315	-0.70281124497992	-0.946730486727343	289	1	NOTCH1
HALLMARK_DNA_REPAIR	0.33532041728763	0.566575877485996	-0.389252496769422	-1.10964319462795	224	14	AK1|NCBP2|ERCC3|RFC5
HALLMARK_UV_RESPONSE_UP	0.333830104321908	0.566575877485996	-0.39004990363918	-1.11191636464926	223	14	BAK1|BID|RRAD|STK25|PLCL1|ATP6V1F|MRPL23|MARK2
HALLMARK_INFLAMMATORY_RESPONSE	0.330849478390462	0.566575877485996	-0.391421460277952	-1.11582626504268	221	14	PTGER2|CX3CL1|SPHK1|RNF144B|ADRM1|LPAR1|TPBG|C3AR1
HALLMARK_OXIDATIVE_PHOSPHORYLATION	0.312781954887218	0.566575877485996	-0.408359830275558	-1.14225738539767	207	13	ATP6V1E1|MRPL11|IDH3B|ATP6V1F|ACAA2|GPI|MRPL34|SDHC
HALLMARK_UV_RESPONSE_DN	0.284649776453055	0.557913561847988	-0.406930637671238	-1.16003832094873	190	14	RND3|EFEMP1|LTBP1|TJP1|SYNE1|VLDLR|SNAI2
HALLMARK_BILE_ACID_METABOLISM	0.273846153846154	0.557913561847988	-0.46651476097513	-1.17331208455139	177	9	PEX12|BBOX1|CYP27A1
HALLMARK_TGF_BETA_SIGNALING	0.252427184466019	0.537779653862389	-0.620090932190587	-1.18234845012864	155	4	TJP1|ENG|TGIF1
HALLMARK_HEDGEHOG_SIGNALING	0.237936772046589	0.537779653862389	-0.687767797152865	-1.19103111544362	142	3	CNTFR|VLDLR
HALLMARK_MYOGENESIS	0.232142857142857	0.537779653862389	-0.409251805775005	-1.21470228092062	155	16	AK1|FGF2|PDE4DIP|SPHK1|LAMA2|MYL2|SLN|COL4A2|NOTCH1|SORBS3|NQO1
HALLMARK_APICAL_JUNCTION	0.2	0.515789473684211	-0.446663228700649	-1.24939902003731	132	13	CDH3|CX3CL1|IKBKG|MSN|COL16A1|TJP1
HALLMARK_MYC_TARGETS_V2	0.174757281553398	0.515789473684211	-0.657603222557905	-1.25387440878101	107	4	MCM5|PUS1|NPM1|BYSL
HALLMARK_APICAL_SURFACE	0.166389351081531	0.515789473684211	-0.725461528938995	-1.25630664535403	99	3	CX3CL1
HALLMARK_XENOBIOTIC_METABOLISM	0.180473372781065	0.515789473684211	-0.471135582666567	-1.27471714873555	121	11	TMEM176B|PGD|LONP1|CYP27A1
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.13447782546495	0.506877957521734	-0.41298263581494	-1.3246330447063	93	22	FGF2|COL16A1|ABI3BP|FSTL3|LAMA2|TNC|SNAI2|NT5E|LAMA3|DCN|COL4A2|VEGFC
HALLMARK_E2F_TARGETS	0.10377358490566	0.462264150943396	-0.568598414537141	-1.38026099545541	65	8	MCM3|ANP32E|MCM5|TCF19
HALLMARK_IL6_JAK_STAT3_SIGNALING	0.00998336106489185	0.326666666666667	-0.887995386933162	-1.53777210940384	5	3	BAK1|CNTFR
HALLMARK_G2M_CHECKPOINT	0.0315789473684211	0.386842105263158	-0.533130909280592	-1.54414357451769	20	15	MCM3|KATNA1|SNRPD1|MCM5|EWSR1|FOXN3
HALLMARK_IL2_STAT5_SIGNALING	0.02	0.326666666666667	-0.626747057946244	-1.57630574327006	12	9	DCPS|PTGER2|TIAM1|AHNAK|PUS1|NT5E
HALLMARK_MYC_TARGETS_V1	0.0148809523809524	0.326666666666667	-0.55939108145623	-1.66033139740159	9	16	NCBP2|SNRPD1|MCM5|PRPF31|EEF1B2|MRPL23|NPM1|PSMB3
