GeneID	TCGA-V1-A9O5-01A-11R-A41O-07	TCGA-M7-A720-01A-12R-A32O-07	TCGA-V1-A9OT-01A-11R-A41O-07	TCGA-KK-A6E3-01A-21R-A30B-07	TCGA-EJ-A7NH-01A-12R-A33R-07	TCGA-HC-8266-01A-11R-2263-07	TCGA-VP-A872-01A-11R-A352-07	TCGA-KK-A7B2-01A-12R-A32O-07	TCGA-G9-6356-01A-11R-1789-07	TCGA-X4-A8KS-01A-12R-A36G-07	TCGA-KK-A8I4-01A-11R-A36G-07	TCGA-ZG-A9M4-01A-11R-A41O-07	TCGA-HC-A6AP-01A-11R-A30B-07	TCGA-EJ-7791-01A-11R-2118-07	TCGA-XQ-A8TA-01A-11R-A36G-07	TCGA-HC-7818-01A-11R-2118-07	TCGA-ZG-A9L5-01A-12R-A41O-07	TCGA-EJ-A65E-01A-11R-A29R-07	TCGA-M7-A71Z-01A-12R-A32O-07	TCGA-EJ-7314-01A-31R-2118-07	TCGA-ZG-A9L1-01A-11R-A41O-07	TCGA-EJ-7318-01B-11R-A32O-07	TCGA-2A-A8W1-01A-11R-A37L-07	TCGA-KK-A8I6-01A-11R-A36G-07	TCGA-G9-7519-01A-11R-2263-07	TCGA-CH-5767-01A-11R-1789-07	TCGA-EJ-5497-01A-02R-1580-07	TCGA-YL-A9WK-01A-11R-A37L-07	TCGA-HC-8213-01A-11R-A29R-07	TCGA-YL-A8HJ-01A-11R-A36G-07	TCGA-J4-A67Q-01A-21R-A30B-07	TCGA-ZG-A8QY-01A-11R-A37L-07	TCGA-ZG-A9LN-01A-11R-A41O-07	TCGA-EJ-7792-01A-11R-2118-07	TCGA-G9-7522-01A-11R-2263-07	TCGA-KK-A8IK-01A-11R-A36G-07	TCGA-EJ-A46E-01A-31R-A250-07	TCGA-Y6-A8TL-01A-21R-A37L-07	TCGA-CH-5790-01A-11R-1580-07	TCGA-TP-A8TV-01A-11R-A41O-07	TCGA-V1-A9O7-01A-21R-A41O-07	TCGA-J9-A8CK-01A-11R-A352-07	TCGA-HC-8261-01A-11R-2263-07	TCGA-G9-7523-01A-11R-2263-07	TCGA-KK-A7AV-01A-11R-A32O-07	TCGA-VP-A87E-01A-31R-A352-07	TCGA-KK-A6E2-01A-11R-A311-07	TCGA-H9-7775-01A-11R-2118-07	TCGA-EJ-A65F-01A-21R-A311-07	TCGA-CH-5772-01A-11R-1580-07	TCGA-M7-A723-01A-12R-A32O-07	TCGA-EJ-7783-01A-11R-2118-07	TCGA-EJ-A7NK-01A-12R-A352-07	TCGA-KK-A6E4-01A-11R-A30B-07	TCGA-G9-6366-01A-11R-2118-07	TCGA-KK-A8ID-01A-11R-A36G-07	TCGA-VN-A88O-01A-11R-A352-07	TCGA-HC-7821-01A-12R-2118-07	TCGA-EJ-5503-01A-01R-1580-07	TCGA-YL-A9WJ-01A-11R-A37L-07	TCGA-YL-A8S8-01A-11R-A37L-07	TCGA-EJ-5530-01A-01R-1580-07	TCGA-G9-6362-01A-11R-1789-07	TCGA-2A-A8VT-01A-11R-A37L-07	TCGA-EJ-7786-01A-11R-2118-07	TCGA-HC-A6AO-01A-11R-A30B-07	TCGA-HC-8257-01A-11R-2263-07	TCGA-KC-A7FE-01A-12R-A33R-07	TCGA-CH-5745-01A-11R-1580-07	TCGA-2A-AAYU-01A-11R-A41O-07	TCGA-YJ-A8SW-01A-11R-A37L-07	TCGA-J4-A6G1-01A-11R-A311-07	TCGA-ZG-A9L6-01A-11R-A41O-07	TCGA-G9-6384-01A-11R-1789-07	TCGA-EJ-5514-01A-01R-1580-07	TCGA-V1-A9OF-01A-11R-A41O-07	TCGA-EJ-5522-01A-01R-1580-07	TCGA-XK-AAIW-01A-11R-A41O-07	TCGA-J4-AATZ-01A-11R-A41O-07	TCGA-HC-7750-01A-11R-2118-07	TCGA-FC-A4JI-01A-11R-A250-07	TCGA-KK-A8IM-01A-11R-A36G-07	TCGA-V1-A9OX-01A-11R-A41O-07	TCGA-KK-A7AP-01A-12R-A33R-07	TCGA-EJ-7794-01A-11R-2118-07	TCGA-YL-A9WX-01A-21R-A41O-07	TCGA-KK-A8IC-01A-11R-A36G-07	TCGA-2A-AAYO-01A-11R-A41O-07	TCGA-FC-7708-01A-11R-2118-07	TCGA-EJ-AB27-01A-11R-A41O-07	TCGA-YL-A8SO-01B-31R-A37L-07	TCGA-EJ-8468-01A-21R-2403-07	TCGA-EJ-7789-01A-11R-2118-07	TCGA-G9-6369-01A-21R-1965-07	TCGA-HC-A8CY-01A-11R-A36G-07	TCGA-G9-6342-01A-11R-1965-07	TCGA-2A-AAYF-01A-11R-A41O-07	TCGA-XK-AAJR-01A-11R-A41O-07	TCGA-HC-8260-01A-11R-2263-07	TCGA-XK-AAJA-01A-11R-A41O-07
KIF5C	20.0884390168	16.4994430875	13.7637713349	12.2190463373	23.7864115974	14.7382627726	4.93516668635	12.261518692	13.7223460822	8.54586526147	17.0075815543	37.3221948781	5.39203576317	19.0131756468	10.7082967844	16.1029640023	12.6047076831	20.461725194	8.1000580762	21.7818240777	42.1484562586	9.91589908608	31.2117914605	17.8962083921	16.9226078647	26.6322454244	24.5369590403	12.4237549066	21.0168718919	7.29761731003	5.05556688711	22.562317068	4.76368622893	11.8915506249	27.8529456436	8.25811450389	10.7396731513	13.6124028783	16.5342849808	19.722015098	4.91493278427	16.1162761285	15.0387608657	6.18635484519	13.5691055983	8.69468415924	37.987666425	22.5358434895	34.2695307237	28.365946668	12.8453686851	40.5028672784	15.2452447413	7.28578830484	24.1352934897	21.493056521	17.8632440045	29.7712843874	15.7375602105	14.2758315568	11.8975208623	25.3516376126	22.0362489942	47.4156053577	31.3343704424	13.7980504067	16.9503315694	15.5983883969	7.69634884077	23.2878296059	28.3942814368	5.72015303136	28.0126035737	35.4251155375	44.8169814123	18.8516848521	42.2355997791	16.6757342427	49.7420899443	16.5323621811	7.27463481417	22.1915109863	11.0471219774	28.0039687821	18.2373922654	20.0896097558	25.4774024254	14.2596480708	26.4692080479	23.679424945	5.21270926458	31.1870019719	13.5868911049	17.3399610569	25.6382136966	32.0041278595	27.135204904	36.1584936145	25.8511392136	22.8292915365
DUSP23	7.07077356736	16.7025704778	25.2442381315	37.8790086678	15.888049411	25.6149708966	70.5035374223	53.7840150107	20.4105259106	32.759439385	62.1066698261	12.865589343	79.9427938109	24.3079528054	20.2002398669	22.6359778417	3.14705356932	12.6582986503	5.65026689349	12.8856691996	19.8836268573	36.1963531916	13.8883021983	21.0347827145	21.2337235938	11.3075981284	8.58676470401	25.0760288867	17.569270558	27.2367798976	52.5747259915	29.2027293361	34.8432681357	18.568302715	19.0441448791	43.8741552092	25.6523669352	28.1885590812	13.1790600489	19.1710169492	38.0800432549	22.8068779727	28.8221245957	28.8114114277	22.5370047134	37.130650375	6.57793871472	14.6148559532	18.8165478033	15.4987056364	50.732713894	10.9790950057	22.8614684917	57.6246001441	25.0368459592	14.3689993795	13.434897802	6.19787655376	20.9279163235	23.7653847987	28.730267124	11.722358861	22.4849047868	25.2036248651	15.4493146246	49.8478317318	5.12895929704	17.5227254649	10.8098254146	18.9268551984	12.0186065631	30.2325993624	19.6442705299	11.4724447341	11.4254141367	16.3307761156	11.0300885969	2.5896890514	24.1247562563	28.4622976541	47.0897821256	12.3384118585	27.7563845785	33.3701182135	10.350434509	32.4814467766	44.2484487715	25.1873382091	15.8462219626	23.2068277214	45.2975015407	18.0041191442	15.29379018	30.1190322981	6.18656374397	23.9926346093	13.0853653683	15.0439939756	16.1650807698	14.7032177702
RP11-631N16.4	1.42050983184	1.73069458932	8.40609907737	0.649891002322	3.86433314478	2.15197056922	2.07557028255	2.9675210668	0.591287445615	4.45385711375	2.79391084068	1.28767515592	1.58482322124	0.511073637835	4.16366929752	0.271887033279	1.48643763669	1.50469275369	1.46975600068	0.313783673949	0.0649987405883	1.73073740594	2.42557891579	2.10464825355	0.323541876805	0.501540346585	0.420972138757	1.68535428363	0.430330443919	1.33186749191	2.11408110154	1.35605341928	1.60680016836	0.944509654119	0.200148977454	3.43511163121	0.676726082479	1.92448314517	0.93705299519	3.03279828027	0.7607054354	1.48440662702	1.63569357767	0.228889894487	3.97077931895	0.793635485479	0.452663946086	0.827748197536	0.974061074973	0.495356775494	2.20884429425	0.610295313701	1.8243572006	1.32930101334	0.326953524841	1.30877370572	1.97324403719	1.4508595402	0.382706940599	1.19830208287	2.48440346591	0.631295763506	2.18382285169	1.79960915676	0.657180363779	2.70764676979	2.1191569998	1.44287558791	0.323059955496	0.929402892188	1.10742367156	1.93320916625	1.55735035285	0.214183455661	0.200321615078	1.90884835496	0.431005688082	1.43953130126	0.660280588791	0.752732679243	1.54087895609	1.97635374238	3.26978850503	2.84337430224	0.372005553215	1.54671005331	0.945258393029	1.66825061238	0.655801125639	0.36163852653	3.36575206047	0.747785446961	1.72513378186	0.383388903998	2.39047379563	0.7976288196	0.978856007974	1.82061949552	3.33459654966	4.11296019356
IVD	18.8020871912	31.7099113161	29.2454412231	28.8992426041	38.3609099661	21.3115307386	16.1024207143	21.2261520157	30.1693666296	21.2376754649	15.0641392463	26.8983262424	32.0726523353	33.4493249917	37.2245166449	38.2641474289	19.3305374839	57.2561672063	40.5575763678	39.291647753	21.1280729443	32.7862125532	47.3348735324	55.9516700696	30.607719768	43.924847647	36.1403201568	26.5792391589	36.9834204113	41.2129935322	22.4523555385	58.8462039826	18.7769603021	34.2337704388	32.5483734629	15.5243096504	19.510920768	43.0419114738	37.2034581368	34.0798413508	25.2764910009	37.8963234596	38.7548337023	15.0523221979	31.0914616439	22.7686538903	42.0185440758	35.5293847654	44.2630282612	50.0470548071	18.2034915764	27.6708538962	30.0848826726	42.9812405352	27.5932201246	15.4042212833	35.5837969651	30.8298361875	29.8425265753	39.5975552077	31.7883707523	40.486816891	13.5472362537	29.2635774771	41.3531473214	15.1945416771	41.4312439521	27.5794511341	25.227110552	32.8269500534	1.02079791502	20.7213974595	26.0881677745	23.7214775097	20.9874377355	53.8309480145	29.0984858824	34.8669132281	36.2238291574	32.2013809189	20.4252427478	44.1274992613	31.1031825354	20.3014226738	37.6488306494	26.441796581	22.8648154125	39.6961380309	30.5265084552	39.5495578584	15.636268457	33.8331421986	38.4969382035	26.6460423213	45.8978364529	40.3520303848	42.9890486796	37.7656622615	32.2054744159	31.2188022392
AJUBA	2.64060745231	4.57868495365	1.33484420916	1.89639766941	3.35101463344	4.70836434614	1.61498912155	2.8215320216	3.98976453554	2.33764585396	2.25564440616	3.2877037439	1.50779923135	5.03112420082	3.34902023558	1.3495774867	1.29071248646	1.99376227974	0.557818054963	3.51992963404	1.86287325447	1.30410017131	0.546056370795	2.26771840691	0.652160540803	0.460323868175	2.3570829737	1.25206043952	0.643170917034	3.98607340204	1.79396936202	3.15031952196	1.9758912925	3.12006829006	1.06014685424	0.731217248862	7.75033198605	1.6243001105	2.24374374727	0.750940633547	2.85972429314	3.10525724661	2.04125104589	1.56481788001	3.36024966557	1.27813349733	1.74713595648	1.53322083018	2.11308585795	1.50512569667	1.49926010469	4.34203369479	7.17875964011	1.00902204907	1.54609353378	0.755170757736	1.29635433652	1.10673100411	4.13188174305	3.14029229812	3.03206728756	1.75642340351	0.728108965032	4.27005083156	1.6109492264	0.702638638926	2.06801817461	3.84612245702	2.52034313834	0.988884082543	0.97896893205	3.88784775589	3.92908921834	3.34848822669	2.63208999507	1.5362094856	3.62481453075	1.31917638111	1.98973884769	3.17316880238	1.5096294943	4.29928496125	2.09867628068	1.12193925133	3.47753744459	4.39796358546	4.48435582364	0.85443490379	2.64158207048	3.39605698501	2.32911468671	1.378904585	1.53475064526	0.726759974718	1.07671697756	3.11679786882	0.522498569903	2.19932331974	3.13160145992	1.66419201261
LCORL	0.676284299653	0.860347672659	0.860629559524	0.460153752156	0.904023570536	1.19994944138	0.731415078038	0.52876624895	1.40517868757	0.571030708394	1.11703410143	1.45335263425	0.404859851277	1.16938915982	1.87044649139	1.26712884406	2.0286874399	1.31764392335	0.696018067286	1.2992558332	2.23006195393	0.882747991327	1.97723600553	1.7724583538	0.695310703114	1.10750650801	2.06412613077	1.13371581029	1.80499856963	1.1805926699	0.406490374709	0.665444968724	0.879179836937	1.37340399495	1.23429192974	0.789749659641	0.743954513996	0.722128793143	2.51761217014	0.825390797492	0.59708288175	0.900500925911	0.88347927315	0.593740203771	1.18739056416	0.606385574866	1.99763384939	1.94311371265	1.34877246031	2.49371336399	0.803090289939	1.93611365726	0.9003429496	0.851061495146	1.53221170272	1.46148388369	0.942593814319	1.41388743283	0.914512146438	1.09708046378	0.722087859281	2.45080946581	1.27832874415	1.82529583095	1.47635647333	0.417000634099	1.57479572894	0.837887382264	1.36682900141	1.62175036601	0.930982893789	1.12132150576	0.823620968577	1.48070432995	4.04595615025	1.39904675246	3.52408511404	1.85906521362	1.32356588694	0.891559035218	0.901482200362	1.51608583147	0.762269616781	0.865534386335	1.45505949991	1.0855014184	1.05517831205	0.96690582978	1.47646772565	0.931843056872	0.768746001584	1.29427896716	1.32983361429	0.481618297895	1.72305954267	1.56154605432	0.893678212255	1.17260006883	1.09222764701	0.941187669166
RP11-467L13.7	0.721217357912	1.39649474671	1.40185866744	1.18183882274	1.20883510072	1.18377889798	1.1835869953	1.1993819805	1.21276541401	0.979034287468	1.16041069748	1.80763025088	1.37253969776	1.03155041053	0.725583328552	0.99454633182	0.573017460911	0.812860516664	0.765964017026	0.959234286788	0.748948611022	0.699734678523	1.41612276772	1.58714085747	0.93373272832	0.888010133597	0.728948229298	0.654383138216	0.839906924379	0.922179324765	1.46772616523	0.82237571119	0.455350813995	0.745124845166	0.947196887973	0.807777687223	1.70151335113	0.942809331378	0.974183649264	1.09136987342	1.06666889055	1.49729677834	0.776145891231	1.03611592922	0.762935282074	1.14049203307	1.09106536143	2.76832262233	1.41249740973	0.665627194219	0.879828676239	0.971973938851	1.58492973434	1.79105313608	0.781655892602	0.834198082017	2.14374819868	1.12966616753	1.00053023948	0.414389172503	0.7999259288	0.956026080477	0.955171483493	1.11648532547	1.08949362464	1.39227681028	0.747490004957	1.29299626989	0.962268941514	1.34932176514	0.474873104146	1.22838839957	0.620532679041	0.849925189086	0.753700482782	1.06607077966	1.19238107307	1.34634847462	1.63368024574	0.967641223873	0.46346159905	0.976915100997	1.36581172525	1.43510556083	1.18095728424	1.27949356293	1.01736115986	0.94976578774	0.871307803013	0.59028095983	0.717597252842	1.11900843835	0.41412230262	0.758805840444	1.52455845397	1.1019444606	0.88531222354	0.756973936785	1.19966907421	1.25540723779
UAP1	48.5509967525	18.1310861738	34.408638789	31.3618829406	31.9985017152	29.2162943096	36.1297484184	22.7664506844	38.7340204453	20.6924541682	40.6024185809	29.5496363703	57.1695986393	34.4487968741	17.8549185947	44.3175864244	60.5331711109	117.929568368	104.131361438	86.747737975	96.3745612237	48.9377930171	39.5321568616	64.3939423783	42.2075084742	78.349874311	69.5752134782	31.1370603696	85.3529697624	57.8992395788	19.7961403828	59.911051817	52.2474911888	42.2591900085	33.66434319	93.6842756714	18.5393200398	59.4375092019	95.2341754585	67.4239634992	48.8582184144	55.2801956665	33.9114329228	26.3509491028	45.68471537	42.7429397179	103.072658295	80.3528898423	59.0640486354	86.4144840188	23.2991214478	75.0465088023	25.5120427576	94.2520610386	32.609721799	56.2182269233	57.8949800511	100.542263184	30.5007783583	36.9711436743	49.1420465784	82.8476485981	66.494286087	37.2994979938	47.8380363377	65.7416635705	65.5879091437	28.4006940045	39.4133145705	53.6802328848	38.1223619372	49.3644079201	25.1030044971	40.7598765532	16.8031678552	54.3749088541	45.6069212128	124.159574733	40.8225650983	31.0914440941	145.579786555	39.429121455	37.7070535308	25.2188476876	37.4795594864	49.1119898814	23.1484431743	46.817634667	34.9823057591	29.4568255266	45.4472692508	28.1342135045	56.3749075144	72.7343520728	107.410921047	44.8951078461	58.0214209562	40.0724758941	39.2212070365	35.9387893546
SERINC1	62.1784882709	75.3808162369	13.3249601112	56.1970576452	72.0704635476	84.8015098035	58.2809813729	54.9384863503	81.4779670239	22.7471040465	81.9568424	75.7567103613	39.8763366968	105.577055561	41.4697996891	75.9615275778	83.8399547215	56.2239442646	21.6055487017	76.2775502673	106.232060239	46.1564045886	92.1761848321	76.3509951193	59.972092454	96.6065042497	109.808887258	55.5553823512	81.1828327929	76.8473933092	42.6931774005	55.9608820948	72.2499141052	101.533122127	110.110880086	45.3686102522	81.7706008977	75.655949686	94.9627424776	80.373724674	70.3673139783	68.3684524064	69.6869319378	89.5953721082	60.4221482804	74.9868735866	75.1310439524	102.408632896	92.5172234419	115.025344311	66.3158965937	87.0907347855	76.0743479817	39.8970683698	112.933433568	65.1578071616	64.1172846353	79.4552309642	85.9754023355	53.6854343077	36.486682419	92.4622218413	46.0964557671	99.1548772566	79.0179675258	20.8113108451	83.6794210892	80.9047214641	94.7138831264	93.8023226063	93.0542284682	75.5751579955	90.2637820894	104.719886734	136.886915902	54.2866857931	117.488526596	61.3622066481	98.6733795701	77.8063081714	41.044923164	80.8694898737	41.8316014332	62.9137435237	103.666407247	87.4029411297	87.6836505957	65.8966409074	105.534780464	70.7940660876	40.1986599922	72.4812937134	68.347839933	34.0743355646	68.577982725	78.0535335659	79.551102828	58.2519089607	83.7805333623	30.2224389371
PCDHB16	0.399380402358	0.223228530391	3.51179471819	2.37785687551	0.5012278474	0.294284603293	2.83254541519	1.68893285421	2.35436422862	0.570366929098	0.505865194842	6.6047179454	0.280836354292	1.51995694645	2.14615047624	1.85374776905	0.186610509406	6.52413283901	1.26751035635	3.95258881733	0.555199200502	3.21962074821	0.0328474787154	4.07569983455	1.02515800179	0.162207010006	0.420826741098	0.538735292275	1.84209998225	2.53898614739	3.02446395656	0.574594794376	2.28544275097	0.966210755111	0.587064645951	0.594643530935	0.347538652913	0.986720379061	0.61494873258	0.90681831839	0.763460328554	0.471736018195	0.200741238411	1.54779296502	0.171154781828	1.06056989408	1.64808386489	1.03843235739	4.28757624213	3.45303590292	0.986957662793	1.2474049695	0.323403986186	0.271604508349	3.28494257642	1.47432113486	0.705191096385	4.1435934716	0.548142827233	0.359869776394	2.22905021595	1.93876091939	0.557462158062	2.68788705501	1.19688694507	0.141780130797	2.8469489347	1.36301864635	9.85729430783	1.74166787519	3.01878037017	1.32054552539	0.594615872685	1.59554575522	0.475301519211	0.107761570049	1.38399177604	0.600668254928	2.29147897617	0.487763551361	0.0457370403905	3.10462607481	0.515336067072	0.500451682866	0.410890956723	0.58573242999	0.906641404244	1.7715122335	2.10866747662	0.269426380982	0.352480812998	0.573994079064	0.222303719566	1.0853230578	0.917454204563	0.9201599815	1.95905202771	0.305686840404	0.64918736281	0.114992800866
